id,linea,posicion,nombre,x,y,gradoaccesibilidad,longitudtramoanterior,velocidadtramoanterior
0,1,1,PINAR DE CHAMARTIN,443592,4481471,T,0,0
1,1,2,BAMBU,442778,4481108,T,1061.403689,22.96
2,1,3,CHAMARTIN,442247,4480581,T,782.3669,22.96
3,1,4,PLAZA DE CASTILLA,441684,4480016,N,1190.463,22.96
4,1,5,VALDEACEDERAS,441183,4479745,N,514.3952813,22.96
5,1,6,TETUAN,440909,4479318,N,560.1044158,22.96
6,1,7,ESTRECHO,440499,4478625,N,755.64279,22.96
7,1,8,ALVARADO,440471,4478187,N,537.5323932,22.96
8,1,9,CUATRO CAMINOS,440412,4477814,T,448.1798194,22.96
9,1,10,RIOS ROSAS,440632,4477258,N,510.4032079,22.96
10,1,11,IGLESIA,440825,4476473,T,744.9503924,22.96
11,1,12,BILBAO,440548,4475824,N,715.9859865,22.96
12,1,13,TRIBUNAL,440637,4475505,N,459.6540382,22.96
13,1,14,GRAN VIA,440572,4474820,N,712.5698299,22.96
14,1,15,SOL,440446,4474473,P,331.1722498,22.96
15,1,16,TIRSO DE MOLINA,440323,4473971,N,655.2751584,22.96
16,1,17,ANTON MARTIN,440772,4473981,N,505.2994431,22.96
17,1,18,ATOCHA,441353,4473575,N,674.9789045,22.96
18,1,19,ATOCHA RENFE,441615,4473322,T,308.9812873,22.96
19,1,20,MENENDEZ PELAYO,442325,4473079,N,701.8768678,22.96
20,1,21,PACIFICO,442819,4472721,N,539.7830783,22.96
21,1,22,PUENTE DE VALLECAS,443332,4472377,N,712.5515797,22.96
22,1,23,NUEVA NUMANCIA,443747,4472079,N,471.77632,22.96
23,1,24,PORTAZGO,444208,4471756,N,579.104597,22.96
24,1,25,BUENOS AIRES,444612,4471631,N,557.8720107,22.96
25,1,26,ALTO DEL ARENAL,445348,4471427,T,654.7934679,22.96
26,1,27,MIGUEL HERNANDEZ,445831,4471151,T,627.765534,22.96
27,1,28,SIERRA DE GUADALUPE,447082,4470570,T,1344.99593,22.96
28,1,29,VILLA DE VALLECAS,447370,4470283,T,483.0808897,22.96
29,1,30,CONGOSTO,447573,4469481,T,804.115683,22.96
30,1,31,LA GAVIA,448028,4469234,T,590.123127,22.96
31,1,32,LAS SUERTES,449206,4468453,T,1312.56438,22.96
32,1,33,VALDECARROS,449744,4468099,T,841.7677642,22.96
33,10,1,PUERTA DEL SUR,431138,4466601,T,0,0
